tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,total_awarded_amt
SPC000ETT14000112,Singapore Sports Council,PROVISION OF AGENCY SERVICE FOR SOCIAL MEDIA CAMPAIGN FOR THE 8TH ASEAN PARA GAMES 2015,2015-03-27,Awarded to Suppliers,HAVAS MEDIA ASIA PACIFIC PTE. LTD.,236500
SPC000ETT14000113,Singapore Sports Council,Provision of Architectural Design Consultancy Services for the Sports Facilities Master Plan (SFMP) Tier 4 Sports In Precinct (SIP) Projects,2015-03-02,Awarded to Suppliers,LIU & WO ARCHITECTS PTE LTD,100000
SPC000ETT14000114,Singapore Sports Council,INVITATION TO TENDER FOR THE APPOINTMENT OF CREATIVE AGENCIES FOR SPORT SINGAPORE,2015-06-10,Awarded to Suppliers,I.M COMMUNICATIONS PTE. LTD.,4
SPC000ETT14000114,Singapore Sports Council,INVITATION TO TENDER FOR THE APPOINTMENT OF CREATIVE AGENCIES FOR SPORT SINGAPORE,2015-06-10,Awarded to Suppliers,LEO BURNETT,4
SPC000ETT14000114,Singapore Sports Council,INVITATION TO TENDER FOR THE APPOINTMENT OF CREATIVE AGENCIES FOR SPORT SINGAPORE,2015-06-10,Awarded to Suppliers,MANDATE COMMUNICATIONS (S) PTE. LTD.,4
SPC000ETT14000114,Singapore Sports Council,INVITATION TO TENDER FOR THE APPOINTMENT OF CREATIVE AGENCIES FOR SPORT SINGAPORE,2015-06-10,Awarded to Suppliers,SPLASH PRODUCTIONS PTE. LTD.,4
SPC000ETT14000115,Singapore Sports Council,Invitation to Tender for the Production of ActiveSG Premiums,2015-02-09,Awarded to Suppliers,ASIAMETRICS PTE. LTD.,134214.4
SPC000ETT14000115,Singapore Sports Council,Invitation to Tender for the Production of ActiveSG Premiums,2015-02-09,Awarded to Suppliers,ONE NINE SEVEN SIX PTE. LTD.,134214.4
SPC000ETT14000115,Singapore Sports Council,Invitation to Tender for the Production of ActiveSG Premiums,2015-02-09,Awarded to Suppliers,STANPACK INDUSTRIES PTE. LTD.,134214.4
SPC000ETT14000116,Singapore Sports Council,"INVITATION TO TENDER FOR THE PRODUCTION, PACKAGING AND DELIVERY OF VICTORY MEDALS, COMMEMORATIVE MEDALLIONS, COMMEMORATIVE FOLDERS AND CERTIFICATES OF PARTICIPATION AND MEDAL TRAYS FOR THE 28TH SOUTHEAST ASIAN (SEA) GAMES",2015-02-26,Awarded to Suppliers,Eng Leong Medallic Industries Pte Ltd,386085
SPC000ETT14000119,Singapore Sports Council,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF WIRELESS COMMUNICATION SERVICES FOR 28TH SEA GAMES 2015 AND 8TH ASEAN PARA GAMES 2015,2015-03-06,Awarded to Suppliers,CITICALL COMMUNICATIONS PTE. LTD.,1868000
SPC000ETT14000121,Singapore Sports Council,FOR THE PROVISION OF SHOW LIGHTING SYSTEM FOR THE 28TH SOUTH EAST ASIAN (SEA) GAMES,2015-02-11,Awarded to Suppliers,Showtec Communications Pte Ltd,4588600
SPC000ETT14000123,Singapore Sports Council,PROVISION OF TRAINING AND MANAGEMENT OF DIGITAL MEDIA VOLUNTEERS FOR SPORTS EVENT COVERAGE,2015-03-05,Awarded to Suppliers,VOX GROUP PTE. LTD.,180000
SPC000ETT14000124,Singapore Sports Council,FOR THE PROVISION OF AUDIENCE INTERACTION SYSTEM FOR THE 28TH SOUTH EAST ASIAN (SEA) GAMES,2015-01-22,Awarded to Suppliers,ESKI INC.,1243960
SPC000ETT14000128,Singapore Sports Council,"Provision for Multi-Disciplinary Team (Architectural, Civil & Structural, Mechanical & Electrical and Quantity Surveying) Consultancy Services for the Purpose of Extending the Occupation and Use of the Games Headquarters (GHQ) Building at 230 Stadium Boulevard.",2015-02-17,Awarded to Suppliers,JPL CONSULTANTS PTE. LTD.,10.5
SPC000ETT14000129,Singapore Sports Council,APPOINTMENT OF INSURANCE BROKER AND PROVISION OF INSURANCE COVERAGE FOR SPORT SINGAPORE FOR TWO (2) YEARS,2015-03-14,Awarded to Suppliers,ACCLAIM INSURANCE BROKERS PTE. LTD.,1051160
SPC000ETT14000130,Singapore Sports Council,"INVITATION TO TENDER FOR THE SUPPLY, FABRICATION, INSTALLATION, AND DISMANTLING OF STREET BANNERS, BRIDGE BANNERS AND BUILDING FACADE BANNERS FOR 28th SEA GAMES (SEAG)",2015-02-17,Awarded to Suppliers,Allmaster Enterprise,93950
SPC000ETT14000132,Singapore Sports Council,FOR THE PROVISION OF AUDIO SYSTEMS FOR SOUTHEAST ASIAN GAMES 2015 (SEAG15),2015-02-10,Awarded to Suppliers,THE SHOW COMPANY PTE LTD,1408500
SPC000ETT14000133,Singapore Sports Council,PROVISION OF CLEANING AND WASTE MANAGEMENT SERVICES FOR THE 28th SOUTHEAST ASIAN GAMES,2015-03-30,Awarded to Suppliers,VEOLIA ES SINGAPORE INDUSTRIAL PTE. LTD.,495180.34
SPC000ETT14000136,Singapore Sports Council,Provision of Field of Play Lighting System and Audio-Visual Equipment at Competition Venues for the 28th Southeast Asian Games Singapore 2015,2015-03-04,Awarded to Suppliers,Showtec Communications Pte Ltd,3957930
SPC000ETT14000137,Singapore Sports Council,Invitation to Tender for the Provision of Sports Equipment for the 28th South East Asian Games,2015-03-02,Awarded to Suppliers,INSULGLAS SYSTEMS PTE LTD,335177
SPC000ETT14000137,Singapore Sports Council,Invitation to Tender for the Provision of Sports Equipment for the 28th South East Asian Games,2015-03-02,Awarded to Suppliers,LIANG SENG SPORTS EQUIPMENT PTE LTD,335177
SPC000ETT14000137,Singapore Sports Council,Invitation to Tender for the Provision of Sports Equipment for the 28th South East Asian Games,2015-03-02,Awarded to Suppliers,TAISHAN SPORTS ENGINEERING PTE. LTD.,335177
SPC000ETT14000138,Singapore Sports Council,TENDER TO PROVIDE FURNISHING & FURNITURE TO SPORT SINGAPORE ALTITUDE HOUSE OF SINGAPORE SPORTS INSTITUTE,2015-03-06,Awarded to Suppliers,HUP SENG FURNISHING & CONSTRUCTION PTE. LTD.,61360
SPC000ETT14000139,Singapore Sports Council,Procurement Of FIFA 2 Star Artificial Turf at Jurong East Stadium (S.League Shared Stadium),2015-02-11,Awarded to Suppliers,TCB SPORTS PTE LTD,442028
SPC000ETT15000001,Singapore Sports Council,PROVISION OF FINANCIAL ADVISORY SERVICES FOR THE REFINANCING OF THE SPORTS HUB PROJECT,2015-03-27,Awarded to Suppliers,DBS BANK LTD.,150000
SPC000ETT15000002,Singapore Sports Council,REQUEST FOR PROPOSAL FOR THE PROVISION OF EVENT MANAGEMENT SERVICE FOR ELITE AND COMMUNITY EVENTS FOR 28TH SOUTH EAST ASIAN GAMES,2015-03-24,Awarded to Suppliers,HIVELOCITY PTE. LTD.,747520
SPC000ETT15000002,Singapore Sports Council,REQUEST FOR PROPOSAL FOR THE PROVISION OF EVENT MANAGEMENT SERVICE FOR ELITE AND COMMUNITY EVENTS FOR 28TH SOUTH EAST ASIAN GAMES,2015-03-24,Awarded to Suppliers,ORANGE ROOM PTE. LTD.,747520
SPC000ETT15000003,Singapore Sports Council,PROPOSED CONSTRUCTION OF PETANQUE FIELD OF PLAY AT PADANG,2015-03-16,Awarded to Suppliers,TCB SPORTS PTE LTD,137000
SPC000ETT15000004,Singapore Sports Council,INVITATION TO TENDER FOR THE PROVISION OF SPORTS PHOTOGRAPHY DURING THE 28TH SOUTHEAST ASIAN GAMES PERIOD,2015-05-05,Awarded to Suppliers,THOMSON REUTERS ASIA PTE. LTD.,233000
SPC000ETT15000007,Singapore Sports Council,INVITATION TO TENDER FOR THE PROVISION OF EVENTS MANAGEMENT SERVICES FOR THE 3-MONTH COUNTDOWN EVENT FOR THE 28TH SOUTHEAST ASIAN GAMES,2015-03-16,Awarded to Suppliers,UNEARTHED PRODUCTIONS PRIVATE LTD.,339900
SPC000ETT15000008,Singapore Sports Council,INVITATION TO TENDER FOR THE PROVISION OF SOIL INVESTIGATION SERVICES FOR PROPOSED BUILDING DEVELOPMENT FOR SPORT SINGAPORE AND PEOPLES ASSOCIATION,2015-12-10,Awarded to No Suppliers,na,0
SPC000ETT15000009,Singapore Sports Council,INVITATION TO TENDER FOR THE PROVISION OF NEWS EDITORIAL AND VIDEO SERVICES FOR SPORT SINGAPORE DIGITAL ASSETS,2015-05-15,Awarded to Suppliers,THOMSON REUTERS ASIA PTE. LTD.,362016
SPC000ETT15000010,Singapore Sports Council,FOR THE SUPPLY AND DELIVERY OF CEPAS CASH CARDS FOR THE 28TH SOUTH EAST ASIAN (SEA) GAMES,2015-03-17,Awarded to Suppliers,EZ-LINK PTE LTD,1216050
SPC000ETT15000014,Singapore Sports Council,"INVITATION TO TENDER FOR THE DESIGN, FABRICATION, INSTALLATION AND DISMANTLING OF ON-SITE BRANDING FOR TORCH UP PROGRAMME",2015-03-27,Awarded to Suppliers,S-LITE EVENT SUPPORT PTE. LTD.,105900
SPC000ETT15000015,Singapore Sports Council,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES FOR TEAM WELCOME CEREMONY FOR THE 28TH SOUTHEAST ASIAN (SEA) GAMES,2015-04-24,Awarded to Suppliers,Adventurer's Singapore Pte Ltd,54444.66
SPC000ETT15000016,Singapore Sports Council,INVITATION TO TENDER FOR THE FOR THE PROVISION OF CITY DRESSING ITEMS FOR THE 28TH SEA GAMES,2015-04-29,Awarded to Suppliers,Allmaster Enterprise,791810
SPC000ETT15000016,Singapore Sports Council,INVITATION TO TENDER FOR THE FOR THE PROVISION OF CITY DRESSING ITEMS FOR THE 28TH SEA GAMES,2015-04-29,Awarded to Suppliers,CITYNEON EVENTS PTE. LTD.,791810
SPC000ETT15000017,Singapore Sports Council,"INVITATION TO TENDER FOR PROVISION OF (i) PRODUCTION OF VIDEOBOARD CONTENT AND LIVE PRODUCTION WORKS; (ii) MANAGEMENT OF ANNOUNCERS, PRODUCERS AND MUSIC DIRECTORS, AT THE 28TH SEA GAMES 2015",2015-04-29,Awarded to Suppliers,NOTCH PRODUCTIONS PTE. LTD.,989000
SPC000ETT15000018,Singapore Sports Council,PROPOSED ADDITIONS & ALTERATIONS (A&A) WORKS TO EXISTING KALLANG THEATRE,2015-04-10,Awarded to Suppliers,TAY HAO PAINT WORKS PTE LTD,1495300
SPC000ETT15000019,Singapore Sports Council,"FOR THE SUPPLY AND DELIVERY OF COMMEMORATIVE MEDALLIONS, FOLDERS AND APPRECIATION CERTIFICATES FOR WORKFORCE AND PARTNERS OF THE 28TH SOUTH EAST ASIAN (SEA) GAMES",2015-04-14,Awarded to Suppliers,Eng Leong Medallic Industries Pte Ltd,577194.28
SPC000ETT15000021,Singapore Sports Council,PRODUCTION AND DELIVERY OF UNIFORM SLING BAG FOR THE 28TH SOUTHEAST ASIAN (SEA) GAMES 2015,2015-03-27,Awarded to Suppliers,PHUTURE INTERNATIONAL PTE. LTD.,104895
SPC000ETT15000024,Singapore Sports Council,INVITATION TO TENDER FOR THE PRODUCTION OF TEAM SINGAPORE PREMIUMS,2015-04-14,Awarded to Suppliers,LATITUDE EXPERIENCE PTE. LIMITED,55850
SPC000ETT15000024,Singapore Sports Council,INVITATION TO TENDER FOR THE PRODUCTION OF TEAM SINGAPORE PREMIUMS,2015-04-14,Awarded to Suppliers,PHUTURE INTERNATIONAL PTE. LTD.,55850
SPC000ETT15000025,Singapore Sports Council,Leasing of Multi-Function Printers (Pay Per Print) for the 28th Southeast Asian Games 2015,2015-05-04,Awarded to Suppliers,TTS COPIER INTERNATIONAL PTE. LTD.,12760
SPC000ETT15000026,Singapore Sports Council,"FOR THE SUPPLY, DELIVERY AND SUPPORT OF AN ATHLETE VIDEO MANAGEMENT SYSTEM INCLUDING MAINTENANCE OF SOFTWARE",2015-06-03,Awarded to No Suppliers,na,0
SPC000ETT15000027,Singapore Sports Council,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES FOR THE TORCH PARADE FOR THE 28TH SOUTHEAST ASIAN GAMES,2015-05-22,Awarded to Suppliers,UNEARTHED PRODUCTIONS PRIVATE LTD.,185500
SPC000ETT15000028,Singapore Sports Council,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES AT SEA GAMES ROADSHOWS AND SEA GAMES ACTIVITY ZONE AT MARINA BAY PROMONTORY,2015-05-05,Awarded to Suppliers,FORCE 21 EQUIPMENT PTE LTD,90485
SPC000ETT15000031,Singapore Sports Council,Replacement of Metal  Roofing at Clementi Swimming Complex,2015-10-28,Awarded to Suppliers,ORION INTEGRATED SERVICES PTE. LTD.,473260
SPC000ETT15000033,Singapore Sports Council,Installation of Outdoor Display Boards with Sports Graphic Stickers,2015-05-19,Awarded to Suppliers,UNIVERSAL DISPLAYS PTE LTD,63475
SPC000ETT15000034,Singapore Sports Council,"THE SUPPLY, DELIVERY, AND INSTALLATION OF GYMNASIUM EQUIPMENT AT SPORT SINGAPOREs FACILITIES",2015-11-03,Awarded to No Suppliers,na,0
SPC000ETT15000035,Singapore Sports Council,THE SERVICING AND MAINTENANCE OF THE WATER SLIDES AT SPORT SINGAPORES SWIMMING COMPLEXES FOR A PERIOD OF UP TO TWELVE (12) MONTHS,2015-08-05,Awarded to Suppliers,WATERLAND SERVICES PTE. LTD.,879000
SPC000ETT15000036,Singapore Sports Council,TENDER FOR THE PROVISION OF A 2-YEAR PERIOD CONTRACT FOR THE SUPPLY AND DELIVERY OF GYM TOWELS FOR SALE AT THE SPORT SINGAPORE MY ACTIVEGYM,2015-10-05,Awarded to Suppliers,Waygood Industries Pte Ltd,192696
SPC000ETT15000037,Singapore Sports Council,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF APPAREL AND BAGS FOR THE 8TH ASEAN PARA GAMES SINGAPORE 2015,2015-09-01,Awarded to Suppliers,PHUTURE INTERNATIONAL PTE. LTD.,200.82
SPC000ETT15000040,Singapore Sports Council,INVITATION TO TENDER FOR THE SUPPLY AND PRINTING OF CEPAS CARDS FOR THE 8TH ASEAN PARA GAMES 2015,2015-09-09,Awarded to Suppliers,EZ-LINK PTE LTD,324503.9
SPC000ETT15000041,Singapore Sports Council,"FOR THE SUPPLY, DELIVERY AND SUPPORT OF AN ATHLETE VIDEO MANAGEMENT SYSTEM INCLUDING MAINTENANCE OF SOFTWARE",2015-10-03,Awarded to Suppliers,DARTFISH LTD,367390
SPC000ETT15000042,Singapore Sports Council,For the Provision of Sports Equipment for Powerlifting for the 8th ASEAN Para Games Singapore 2015,2015-09-10,Awarded to Suppliers,THE GYM NATION PTE. LTD.,99994
SPC000ETT15000043,Singapore Sports Council,FOR THE ENGAGEMENT OF SEARCH AGENCY TO SOURCE FOR A HEAD & SENIOR SPORT PSYCHOLOGIST (HSSP) & MEDICAL DIRECTOR (MD) FOR THE SINGAPORE SPORTS INSTITUTE (SSI),2015-10-05,Awarded to Suppliers,SPORTS RECRUITMENT INTERNATIONAL PTE. LTD.,97500
SPC000ETT15000044,Singapore Sports Council,Provision of Integrated Logistics Services for the 8th ASEAN Para Games Singapore 2015,2015-10-26,Awarded to Suppliers,PECK TIONG CHOON TRANSPORT PTE. LTD.,573740
SPC000ETT15000045,Singapore Sports Council,MANAGEMENT AND PROVISION OF TRANSPORTATION SERVICES FOR THE 8TH ASEAN PARA GAMES,2015-09-18,Awarded to Suppliers,C & P RENT-A-CAR (PTE.) LTD.,317148
SPC000ETT15000045,Singapore Sports Council,MANAGEMENT AND PROVISION OF TRANSPORTATION SERVICES FOR THE 8TH ASEAN PARA GAMES,2015-09-18,Awarded to Suppliers,COMFORTDELGRO BUS PTE. LTD.,317148
SPC000ETT15000049,Singapore Sports Council,PROVISION OF CITY DRESSING ITEMS FOR 8TH ASEAN PARA GAMES,2015-10-09,Awarded to Suppliers,Allmaster Enterprise,413856
SPC000ETT15000049,Singapore Sports Council,PROVISION OF CITY DRESSING ITEMS FOR 8TH ASEAN PARA GAMES,2015-10-09,Awarded to Suppliers,S-LITE EVENT SUPPORT PTE. LTD.,413856
SPC000ETT15000049,Singapore Sports Council,PROVISION OF CITY DRESSING ITEMS FOR 8TH ASEAN PARA GAMES,2015-10-09,Awarded to Suppliers,UNIVERSAL DISPLAYS PTE LTD,413856
SPC000ETT15000051,Singapore Sports Council,"PROVISION OF PERIOD CONTRACT SERVICES FOR SERVICING AND MAINTENANCE OF THE IRRIGATION & EJECTOR SYSTEMS, SUMP, HEAT & DOMESTIC WATER PUMPS AND THEIR ACCESSORIES AT SPORT SINGAPORE (SportSG) FACILITIES FOR A PERIOD OF THREE (3) YEARS",2015-11-11,Awarded to Suppliers,AQUAFORCE PRIVATE LIMITED,40560
SPC000ETT15000052,Singapore Sports Council,PROVISION OF EVENT SECURITY FOR THE 8TH ASEAN PARA GAMES SINGAPORE 2015,2015-11-09,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,497992
SPC000ETT15000052,Singapore Sports Council,PROVISION OF EVENT SECURITY FOR THE 8TH ASEAN PARA GAMES SINGAPORE 2015,2015-11-09,Awarded to Suppliers,FOCAL INVESTIGATION & SECURITY AGENCY PTE LTD,497992
SPC000ETT15000053,Singapore Sports Council,INVITATION TO TENDER FOR THE APPOINTMENT OF EVENT MANAGEMENT COMPANY FOR THE 8TH ASEAN PARA GAMES SINGAPORE 2015 FINAL COUNTDOWN EVENT,2015-10-16,Awarded to Suppliers,ADRENALIN GROUP PTE. LTD.,137450
SPC000ETT15000055,Singapore Sports Council,PROVISION OF AGENCY SERVICE TO CONCEPTUALIZE AND EXECUTE THE 8TH ASEAN PARA GAMES CARNIVAL,2015-10-20,Awarded to Suppliers,UNEARTHED PRODUCTIONS PRIVATE LTD.,2135000
SPC000ETT15000058,Singapore Sports Council,APPOINTMENT OF EVENT MANAGEMENT COMPANY FOR THE OPENING & CLOSING CEREMONY OF 8TH ASEAN PARA GAMES,2015-11-20,Awarded to Suppliers,Showtec Communications Pte Ltd,4405555
SPC000ETT15000059,Singapore Sports Council,Setup of Games Venues and Provision of Logistics for the 8th Asean Para Games,2015-10-27,Awarded to Suppliers,CITYNEON EVENTS PTE. LTD.,4861578.84
SPC000ETT15000061,Singapore Sports Council,"INVITATION TO TENDER FOR THE PRODUCTION, PACKAGING AND DELIVERY OF VICTORY MEDALS, COMMEMORATIVE MEDALLIONS, COMMEMORATIVE FOLDERS, CERTIFICATES OF PARTICIPATION AND REINSTATEMENT OF MEDAL TRAYS FOR THE 8TH ASEAN PARA GAMES",2015-11-11,Awarded to Suppliers,Eng Leong Medallic Industries Pte Ltd,271792
SPC000ETT15000062,Singapore Sports Council,THE PROVISION OF THE CAULDRON FOR THE 8TH ASEAN PARA GAMES (APG) SINGAPORE 2015,2015-10-20,Awarded to Suppliers,ARINA INTERNATIONAL HOLDING PTE. LTD.,457650
SPC000ETT15000063,Singapore Sports Council,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF PREMIUMS FOR THE ACTIVESG - APG EXPERIENCE,2015-10-26,Awarded to Suppliers,LATITUDE EXPERIENCE PTE. LIMITED,117670.5
SPC000ETT15000066,Singapore Sports Council,Appointment of Costume Production Company for the Opening and Closing Ceremonies of the 8th ASEAN Para Games Singapore 2015,2015-11-13,Awarded to Suppliers,MOEPHOSIS CONCEPTS PTE. LTD.,155820
SPC000ETT15000069,Singapore Sports Council,"PROVISION AND PRODUCTION OF VIDEOBOARD CONTENT AND LIVE PRODUCTION WORKS AND PROVISION AND MANAGEMENT OF ANNOUNCERS, PRODUCERS AND MUSIC DIRECTORS AT THE 8TH ASEAN PARA GAMES",2015-11-23,Awarded to Suppliers,WORLD SPORT GROUP PTE. LTD.,398500
SPC000ETT15000071,Singapore Sports Council,FOR THE PROVISION OF AUDIO-VISUAL EQUIPMENT AT COMPETITION VENUES FOR THE 8TH ASEAN PARA GAMES,2015-11-18,Awarded to Suppliers,Showtec Communications Pte Ltd,564100
SPC000ETT15000072,Singapore Sports Council,"INSPECTION, SERVICING AND CERTIFICATION OF HIGH MASTS AND LIGHTNING INTERCEPTING CABLES AT MARINA FLOAT",2015-12-29,Awarded to Suppliers,RN & ASSOCIATES PTE LTD,97900
SPC000ETT15000074,Singapore Sports Council,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES FOR THE 8TH ASEAN PARA GAMES TEAM WELCOME CEREMONY,2015-11-03,Awarded to Suppliers,Adventurer's Singapore Pte Ltd,45450
SPC000ETT15000075,Singapore Sports Council,Provision & Installation of Platform Lift & Stair Lift and Miscellaneous Works at Queenstown Swimming Complex,2015-12-24,Awarded to Suppliers,LIAN HOE DECOR PTE. LTD.,190368.95
SPO000ETT14000109,Singapore Polytechnic,"ED14/0235 Proposed upgrading of computer room air-conditioning units at SPICE Centre 1, Singapore Polytechnic",2015-01-07,Awarded to Suppliers,LITTLE SWAN AIR-CONDITIONING & ENGINEERING PTE. LTD.,496000
SPO000ETT14000111,Singapore Polytechnic,"ME14/0043-V1 Tender for Supply, Delivery, Installation and Commissioning of used and serviceable Turbofan Aircraft and Turboprop Aircraft",2015-05-15,Awarded to No Suppliers,na,0
SPO000ETT14000112,Singapore Polytechnic,"RD14/0048-V1 - Supply, delivery, installation and commissioning one unit of Bead Mill and accessories for grinding and dispersing nanomaterials. For more details, pls contact requestor: Mr Low Aik Seng Tel: 65902779, Email: low_aik_seng@sp.edu.sg",2015-01-08,Awarded to No Suppliers,na,0
SPO000ETT14000113,Singapore Polytechnic,"ET14/0110  Supply of equipment, tools and site service for installation, testing and commissioning of distributed control system",2015-03-03,Awarded to No Suppliers,na,0
SPO000ETT14000114,Singapore Polytechnic,"CI14/0069 Supply, delivery and implementation of vulnerability scanning and security monitoring solution with maintenance and support for 4 years",2015-01-02,Awarded to Suppliers,DELOITTE & TOUCHE ENTERPRISE RISK SERVICES PTE LTD,188587
SPO000ETT14000115,Singapore Polytechnic,"ED14/0250 Proposed A&A works to CBLS Lab at T11A level 4, Singapore Polytechnic",2015-01-05,Awarded to Suppliers,I-UNITY BUILDERS PTE. LTD.,338800
SPO000ETT14000116,Singapore Polytechnic,ED14/0208 Proposed additions & alterations to existing mechanical & electrical systems for teaching block 11B at Singapore Polytechnic,2015-02-05,Awarded to Suppliers,LUOVA ENGINEERING PTE. LTD.,923600
SPO000ETT14000117,Singapore Polytechnic,"CI14/0068 Tender for supply, delivery, installation, configuration, testing, documentation, commissioning  and maintenance of firewall & bandwidth management devices",2015-03-17,Awarded to Suppliers,NCS PTE. LTD.,642998
SPO000ETT14000118,Singapore Polytechnic,"ED14/0238 Nominated Sub-Contract for proposed audio visual works at the proposed SP expansion involving new erection of 3 blocks 4-8 storey bldg. comprising of classrooms, food courts, multi-storey carpark & other ancillary works.",2015-01-28,Awarded to Suppliers,PAVE System Pte Ltd,754557
SPO000ETT14000121,Singapore Polytechnic,"CI14/0079 Design, develop, implement, deploy and maintain a design thinking online platform (DTOP)",2015-03-23,Awarded to Suppliers,FPT ASIA PACIFIC PTE. LTD.,186900
SPO000ETT14000123,Singapore Polytechnic,"ET14/0134  Tender for training package for 10-40 students and 1  staff on OITP trip to Civil Aviation University of China (CAUC), China from 7 Mar 2015 to 18 Apr 2015",2015-02-06,Awarded to Suppliers,RJ EDUCATION GROUP (S) PTE. LTD.,57236
SPO000ETT14000124,Singapore Polytechnic,"ET14/0135  Tender for Training Package for 5-30 students and 1  staff on OITP to AGLC, Thailand from 7 Mar 2015 to 18 Apr 2015",2015-02-02,Awarded to Suppliers,GRENZONE PTE. LTD.,24156
SPO000ETT14000126,Singapore Polytechnic,ED14/0273 Proposed additions & alterations to existing 5-storey main library building & 4-sorey library annex building (phase one) at Singapore Polytechnic,2015-04-06,Awarded to No Suppliers,na,0
SPO000ETT14000127,Singapore Polytechnic,"ME14/0077 Tender For Supply, Delivery, Install and Commission of High Accuracy Rapid Prototyping Machine",2015-05-06,Awarded to No Suppliers,na,0
SPO000ETT14000132,Singapore Polytechnic,ED14/0279 Proposed renovation works to LT12A & LT12B of Singapore Polytechnic,2015-01-05,Awarded to Suppliers,Eng Hiap Kiong General Contractor Pte Ltd,622116
SPO000ETT14000133,Singapore Polytechnic,CI14/0075 Supply and delivery of 3 years joint-IHL term contract for Microsoft volume licensing enrolment for education solutions,2015-04-07,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd,1350000
SPO000ETT14000135,Singapore Polytechnic,ED14/0293 Term contract for provision of transport and mover from 1 April 2015 to 31 March 2017,2015-02-03,Awarded to Suppliers,SYDHA LOGISTIX COMMUNICATIONS PTE LTD,120000
SPO000ETT14000136,Singapore Polytechnic,"ME14/0087-V1  Tender for training package for 1-60 EEE students and 1-60 MAE students and 1-5  staff on OITP trip to Changchun, China from 7 Mar 15 to 18 Apr 15",2015-02-04,Awarded to Suppliers,STARWORLD INFOTECH PTE. LTD.,211774
SPO000ETT14000137,Singapore Polytechnic,"ET14/0142  TENDER FOR THE SUPPLY OF EQUIPMENT, TOOLS AND SITE SERVICE FOR INSTALLATION, TESTING AND COMMISSIONING OF WATER COOLED CHILLER SYSTEM",2015-01-22,Awarded to Suppliers,GENETRON ENGINEERING CORPORATION (PRIVATE) LIMITED,124500
SPO000ETT14000138,Singapore Polytechnic,"ET14/0145  TENDER FOR THE SUPPLY OF EQUIPMENT, TOOLS AND SITE SERVICE FOR INSTALLATION, TESTING AND COMMISSIONING OF WIRELESS INSTRUMENTATION SYSTEM",2015-03-16,Awarded to No Suppliers,na,0
SPO000ETT14000139,Singapore Polytechnic,"ME14/0089  Tender For Supply, Delivery, Install and Commission of Vibration Fundamentals Equipment",2015-03-03,Awarded to Suppliers,FOCUS SCIENCE TECHNOLOGY SERVICES PTE. LTD.,78000
SPO000ETT14000140,Singapore Polytechnic,"MA14/0075  Tender for the purchase of Overseas Trips on-board ship for students and staffs of Singapore Polytechnic from School of Singapore Maritime Academy, School of Business and School of Architecture & Built Environment for the period between March 2015 to October 2015",2015-02-04,Awarded to Suppliers,STAR CRUISE TRAVEL SERVICE PTE LTD,300522
SPO000ETT14000141,Singapore Polytechnic,"ED14/0305 Nominated sub-contract for supply & installation of 2 hours insulated fire rated fabric & metal shutter at the proposed Singapore Polytechnic campus expansion involving new erection of 3 blocks 4-8 storey building comprising of classrooms, food courts, multi-storey carpark & other ancillary works",2015-02-03,Awarded to Suppliers,K. A. FABRIC SHUTTERS PTE. LTD.,620390
SPO000ETT14000142,Singapore Polytechnic,"ME14/0081  Tender for supply, installation, commissioning and providing training pertaining to Heart Simulator",2015-03-11,Awarded to Suppliers,VIVITRO LABS INC.,143180.75
SPO000ETT14000143,Singapore Polytechnic,"RD14/0056-V1 - One Unit of Research Type Inverted Microscope with Accessories. For further clarifications regarding the Specifications, please contact: Dr Win Tun Latt, tel: 68704774, Email: WIN_TUN_LATT@SP.EDU.SG",2015-01-02,Awarded to Suppliers,EINST TECHNOLOGY PTE. LTD.,87200
SPO000ETT14000144,Singapore Polytechnic,"ET14/0164 Tender for supply, delivery, installation and commissioning of RF Generators",2015-03-04,Awarded to Suppliers,ROHDE & SCHWARZ REGIONAL HEADQUARTERS SINGAPORE PTE. LTD.,86376
SPO000ETT14000145,Singapore Polytechnic,SA14/0120 Tender for 5 Days/4 Nights Overseas Sports Enrichment Programme for 80 to 95 students and coaches and 2 to 3 Staff to Hong Kong from 20 to 24 March 2015,2015-02-02,Awarded to Suppliers,SUN-CITY TRAVEL & TOURS PTE LTD,100355
SPO000ETT14000146,Singapore Polytechnic,"ED14/0266 Proposed replacement of AHU & chilled water piping at main library & annex building, Singapore Polytechnic",2015-06-16,Awarded to Suppliers,BNF Engineering (S) Pte Ltd,830000
